번호,종목코드,종목명,현재가,전일대비,공시일,지정일,해제일
119,011930,신성이엔지,"3,305",-65,2020/10/08,2020/10/12,2020/10/26
118,005030,부산주공,738,24,2020/10/06,2020/10/07,2020/10/22
117,011000,진원생명과학,"21,600","1,100",2020/09/22,2020/09/23,2020/10/13
116,033270,유나이티드제약,"62,300","-2,500",2020/09/21,2020/09/22,2020/10/12
115,002785,진흥기업우B,"6,010",-100,2020/09/18,2020/09/21,2020/10/08
114,000545,흥국화재우,"7,340",-340,2020/09/18,2020/09/21,2020/10/08
113,001470,삼부토건,"4,250",-180,2020/09/16,2020/09/17,2020/10/13
112,000995,DB하이텍1우,"114,000","4,500",2020/09/10,2020/09/11,2020/09/28
111,075580,세진중공업,"6,670",-10,2020/09/10,2020/09/11,2020/09/25
110,011930,신성이엔지,"3,305",-65,2020/09/10,2020/09/11,2020/09/25
109,33626K,두산퓨얼셀1우,"13,850",250,2020/09/08,2020/09/09,2020/09/23
108,009835,한화솔루션우,"61,000","-1,400",2020/09/07,2020/09/08,2020/09/23
107,003520,영진약품,"7,960",-320,2020/09/07,2020/09/08,2020/09/22
106,003415,쌍용양회우,-,-,2020/09/04,2020/09/07,2020/09/21
105,071970,STX중공업,"3,850",60,2020/09/03,2020/09/04,2020/09/22
104,003535,한화투자증권우,"3,205",45,2020/09/03,2020/09/04,2020/09/18
103,092220,KEC,"2,805",-130,2020/09/02,2020/09/03,2020/09/17
102,214330,금호에이치티,"2,710",180,2020/09/02,2020/09/03,2020/09/17
101,034020,두산중공업,"13,350",250,2020/09/02,2020/09/03,2020/09/17
100,003075,코오롱글로벌우,"32,200",50,2020/08/28,2020/08/31,2020/09/14
99,009415,태영건설우,"12,900",100,2020/08/27,2020/08/28,2020/10/12
98,011000,진원생명과학,"21,600","1,100",2020/08/25,2020/08/26,2020/09/14
97,005257,녹십자홀딩스2우,"100,500","-12,500",2020/08/25,2020/08/26,2020/09/09
96,033270,유나이티드제약,"62,300","-2,500",2020/08/24,2020/08/25,2020/09/07
95,004720,우리들제약,"11,800",-650,2020/08/19,2020/08/20,2020/09/03
94,002630,오리엔트바이오,"1,230",0,2020/08/18,2020/08/19,2020/09/08
93,28513K,SK케미칼우,"173,000","1,000",2020/08/14,2020/08/18,2020/09/01
92,001067,JW중외제약2우B,"53,800",300,2020/08/12,2020/08/13,2020/08/28
91,006120,SK디스커버리,"64,800",300,2020/08/12,2020/08/13,2020/08/28
90,001780,알루코,"4,555",-615,2020/08/12,2020/08/13,2020/08/28
